osm_key,osm_type,osm_id,name,latitude,longitude,shop,amenity,leisure,operator,brand,tags_json
node/415256094,node,415256094,Elvi,56.956381,23.9483173,supermarket,,,,Elvi,"{""addr:city"": ""Babīte"", ""addr:country"": ""LV"", ""addr:district"": ""Mārupes novads"", ""addr:housenumber"": ""15A"", ""addr:postcode"": ""LV-2101"", ""addr:street"": ""Liepu aleja"", ""addr:subdistrict"": ""Babītes pagasts"", ""brand"": ""Elvi"", ""brand:wikidata"": ""Q20560513"", ""name"": ""Elvi"", ""opening_hours"": ""Mo-Sa 08:00-21:00; Su 08:00-20:00"", ""ref:LV:addr"": ""104423085"", ""shop"": ""supermarket""}"
node/428920023,node,428920023,Maxima X,56.9322622,24.2000151,supermarket,,,Maxima Latvija,Maxima,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""117A"", ""addr:postcode"": ""LV-1082"", ""addr:street"": ""Lubānas iela"", ""brand"": ""Maxima"", ""brand:wikidata"": ""Q1881222"", ""brand:wikipedia"": ""en:Maxima Group"", ""check_date"": ""2025-10-31"", ""name"": ""Maxima X"", ""opening_hours"": ""08:00-22:00"", ""operator"": ""Maxima Latvija"", ""payment:cash"": ""yes"", ""payment:credit_cards"": ""yes"", ""ref:LV:addr"": ""103547614"", ""shop"": ""supermarket"", ""website"": ""https://maxima.lv/""}"
node/429230626,node,429230626,top!,56.9551366,24.1239526,supermarket,,,,top!,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""33"", ""addr:postcode"": ""LV-1011"", ""addr:street"": ""Tērbatas iela"", ""brand"": ""top!"", ""brand:wikidata"": ""Q20803907"", ""check_date"": ""2026-03-01"", ""diet:halal"": ""no"", ""diet:kosher"": ""no"", ""level"": ""0"", ""name"": ""top!"", ""opening_hours"": ""Mo-Fr 08:00-21:00; Sa-Su 10:00-20:00"", ""payment:credit_cards"": ""yes"", ""payment:debit_cards"": ""yes"", ""ref:LV:addr"": ""106821253"", ""shop"": ""supermarket"", ""toilets"": ""no"", ""wheelchair"": ""no""}"
node/446056448,node,446056448,Rimi Mini,56.9375823,24.1563355,supermarket,,,"SIA ""Rimi Latvia""",Rimi,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:floor"": ""1"", ""addr:housenumber"": ""6"", ""addr:postcode"": ""LV-1003"", ""addr:street"": ""Valērijas Seiles iela"", ""brand"": ""Rimi"", ""brand:wikidata"": ""Q3741108"", ""brand:wikipedia"": ""en:Rimi Baltic"", ""check_date"": ""2025-01-31"", ""diet:halal"": ""no"", ""diet:kosher"": ""no"", ""level"": ""0"", ""name"": ""Rimi Mini"", ""opening_hours"": ""Mo-Su 08:00-22:00"", ""operator"": ""SIA \""Rimi Latvia\"""", ""ref:LV:addr"": ""101933128"", ""shop"": ""supermarket"", ""website"": ""https://rimi.lv/""}"
node/446294703,node,446294703,Rimi Mini,56.9874834,24.2282416,supermarket,,,"SIA ""Rimi Latvia""",Rimi,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""404"", ""addr:postcode"": ""LV-1024"", ""addr:street"": ""Brīvības gatve"", ""brand"": ""Rimi"", ""brand:wikidata"": ""Q3741108"", ""brand:wikipedia"": ""en:Rimi Baltic"", ""check_date"": ""2026-03-24"", ""name"": ""Rimi Mini"", ""opening_hours"": ""Mo-Su 08:00-22:00"", ""operator"": ""SIA \""Rimi Latvia\"""", ""payment:cash:machine"": ""yes"", ""ref:LV:addr"": ""101129192"", ""shop"": ""supermarket"", ""website"": ""https://rimi.lv/"", ""wheelchair"": ""yes""}"
node/450675717,node,450675717,Rimi Mini,56.962062,24.177025,supermarket,,,"SIA ""Rimi Latvia""",Rimi,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""9B"", ""addr:postcode"": ""LV-1084"", ""addr:street"": ""Vaidavas iela"", ""brand"": ""Rimi"", ""brand:wikidata"": ""Q3741108"", ""brand:wikipedia"": ""en:Rimi Baltic"", ""check_date"": ""2025-05-13"", ""name"": ""Rimi Mini"", ""opening_hours"": ""Mo-Su 08:00-22:00"", ""operator"": ""SIA \""Rimi Latvia\"""", ""ref:LV:addr"": ""104776655"", ""shop"": ""supermarket"", ""website"": ""https://rimi.lv/""}"
node/472345802,node,472345802,Maxima X,56.915829,24.0973638,supermarket,,,Maxima Latvija,Maxima,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""10"", ""addr:postcode"": ""LV-1004"", ""addr:street"": ""Valdeķu iela"", ""brand"": ""Maxima"", ""brand:wikidata"": ""Q1881222"", ""brand:wikipedia"": ""en:Maxima Group"", ""check_date:opening_hours"": ""2023-09-12"", ""name"": ""Maxima X"", ""opening_hours"": ""Mo-Su 08:00-22:00"", ""operator"": ""Maxima Latvija"", ""ref:LV:addr"": ""102014216"", ""shop"": ""supermarket""}"
node/474983336,node,474983336,Maxima X,56.957516,24.1905691,supermarket,,,Maxima Latvija,Maxima,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""2 k-2"", ""addr:postcode"": ""LV-1084"", ""addr:street"": ""Gunāra Astras iela"", ""brand"": ""Maxima"", ""brand:wikidata"": ""Q1881222"", ""brand:wikipedia"": ""en:Maxima Group"", ""check_date"": ""2025-05-09"", ""name"": ""Maxima X"", ""opening_hours"": ""Mo-Su 08:00-22:00"", ""operator"": ""Maxima Latvija"", ""ref:LV:addr"": ""106750412"", ""shop"": ""supermarket"", ""website"": ""https://maxima.lv/""}"
node/479378337,node,479378337,Elvi,56.9742058,24.1110551,supermarket,,,,Elvi,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""17"", ""addr:postcode"": ""LV-1045"", ""addr:street"": ""Ganību dambis"", ""brand"": ""Elvi"", ""brand:wikidata"": ""Q20560513"", ""check_date"": ""2025-04-20"", ""name"": ""Elvi"", ""opening_hours"": ""Mo-Sa 08:00-22:00; Su 09:00-21:00"", ""ref:LV:addr"": ""101889081"", ""shop"": ""supermarket""}"
node/489788694,node,489788694,Rimi Mini,56.9540988,24.2050917,supermarket,,,"SIA ""Rimi Latvia""",Rimi,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""86"", ""addr:postcode"": ""LV-1082"", ""addr:street"": ""Dzelzavas iela"", ""brand"": ""Rimi"", ""brand:wikidata"": ""Q3741108"", ""brand:wikipedia"": ""en:Rimi Baltic"", ""check_date"": ""2025-07-02"", ""name"": ""Rimi Mini"", ""opening_hours"": ""08:00-22:00"", ""operator"": ""SIA \""Rimi Latvia\"""", ""payment:cash:machine"": ""yes"", ""ref:LV:addr"": ""104221524"", ""shop"": ""supermarket"", ""website"": ""https://rimi.lv/""}"
node/501611520,node,501611520,Maxima X,56.9686676,24.1008122,supermarket,,,Maxima Latvija,Maxima,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""18B"", ""addr:postcode"": ""LV-1045"", ""addr:street"": ""Pētersalas iela"", ""brand"": ""Maxima"", ""brand:wikidata"": ""Q1881222"", ""brand:wikipedia"": ""en:Maxima Group"", ""name"": ""Maxima X"", ""operator"": ""Maxima Latvija"", ""ref:LV:addr"": ""106525126"", ""shop"": ""supermarket""}"
node/510175085,node,510175085,Maxima X,56.9585396,24.1255677,supermarket,,,Maxima Latvija,Maxima,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""78"", ""addr:postcode"": ""LV-1001"", ""addr:street"": ""Brīvības iela"", ""brand"": ""Maxima"", ""brand:wikidata"": ""Q1881222"", ""brand:wikipedia"": ""en:Maxima Group"", ""check_date"": ""2026-02-14"", ""diet:halal"": ""no"", ""diet:kosher"": ""no"", ""internet_access"": ""wlan"", ""name"": ""Maxima X"", ""opening_hours"": ""Mo-Fr 08:00-22:00; Sa-Su 09:00-22:00"", ""operator"": ""Maxima Latvija"", ""payment:cash"": ""yes"", ""payment:credit_cards"": ""yes"", ""ref:LV:addr"": ""101109468"", ""shop"": ""supermarket"", ""wheelchair"": ""limited""}"
node/522993919,node,522993919,Maxima X,57.0752464,24.3188588,supermarket,,,Maxima Latvija,Maxima,"{""addr:city"": ""Ādaži"", ""addr:country"": ""LV"", ""addr:district"": ""Ādažu novads"", ""addr:housenumber"": ""21"", ""addr:postcode"": ""LV-2164"", ""addr:street"": ""Rīgas gatve"", ""brand"": ""Maxima"", ""brand:wikidata"": ""Q1881222"", ""brand:wikipedia"": ""en:Maxima Group"", ""check_date"": ""2025-07-26"", ""name"": ""Maxima X"", ""opening_hours"": ""08:00-22:00"", ""operator"": ""Maxima Latvija"", ""payment:cash:machine"": ""yes"", ""ref:LV:addr"": ""101093505"", ""shop"": ""supermarket"", ""website"": ""https://maxima.lv/""}"
node/522993925,node,522993925,Mini Rimi,57.0762928,24.3227131,supermarket,,,,,"{""addr:city"": ""Ādaži"", ""addr:country"": ""LV"", ""addr:district"": ""Ādažu novads"", ""addr:housenumber"": ""6"", ""addr:postcode"": ""LV-2164"", ""addr:street"": ""Gaujas iela"", ""check_date"": ""2026-02-28"", ""level"": ""0"", ""name"": ""Mini Rimi"", ""opening_hours"": ""Mo-Su 08:00-22:00"", ""payment:cash:machine"": ""no"", ""ref:LV:addr"": ""104602574"", ""shop"": ""supermarket""}"
node/522993929,node,522993929,Elvi,57.0804373,24.3173909,supermarket,,,SIA Vita mārkets,,"{""addr:city"": ""Ādaži"", ""addr:country"": ""LV"", ""addr:district"": ""Ādažu novads"", ""addr:housenumber"": ""51"", ""addr:postcode"": ""LV-2164"", ""addr:street"": ""Rīgas gatve"", ""check_date"": ""2025-03-02"", ""internet_access"": ""wlan"", ""name"": ""Elvi"", ""opening_hours"": ""Mo-Sa 08:00-22:00"", ""operator"": ""SIA Vita mārkets"", ""ref:LV:addr"": ""101093650"", ""shop"": ""supermarket""}"
node/530234217,node,530234217,Maxima,56.8997412,24.2167043,supermarket,,,,,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""14"", ""addr:postcode"": ""LV-1063"", ""addr:street"": ""Višķu iela"", ""check_date"": ""2026-03-08"", ""name"": ""Maxima"", ""opening_hours"": ""Mo-Su 08:00-22:00"", ""ref:LV:addr"": ""102021318"", ""shop"": ""supermarket"", ""website"": ""https://maxima.lv/""}"
node/537973116,node,537973116,Mego,56.9559625,24.1924765,supermarket,,,,Mego,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""74"", ""addr:postcode"": ""LV-1082"", ""addr:street"": ""Dzelzavas iela"", ""brand"": ""Mego"", ""brand:wikidata"": ""Q16363314"", ""brand:wikipedia"": ""lv:Mego"", ""name"": ""Mego"", ""opening_hours"": ""Mo-Su 08:00-24:00"", ""ref:LV:addr"": ""101826910"", ""shop"": ""supermarket""}"
node/538368382,node,538368382,Mego,56.8751812,24.1184877,supermarket,,,,Mego,"{""addr:city"": ""Baloži"", ""addr:country"": ""LV"", ""addr:district"": ""Ķekavas novads"", ""addr:housenumber"": ""14"", ""addr:postcode"": ""LV-2112"", ""addr:street"": ""Rīgas iela"", ""brand"": ""Mego"", ""brand:wikidata"": ""Q16363314"", ""brand:wikipedia"": ""lv:Mego"", ""name"": ""Mego"", ""opening_hours"": ""Mo-Su 07:00-23:00"", ""ref:LV:addr"": ""101272110"", ""shop"": ""supermarket""}"
node/569103834,node,569103834,Mego,56.9517732,24.1054298,supermarket,,,,Mego,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""20/22"", ""addr:postcode"": ""LV-1050"", ""addr:street"": ""Jēkaba iela"", ""brand"": ""Mego"", ""brand:wikidata"": ""Q16363314"", ""brand:wikipedia"": ""lv:Mego"", ""check_date"": ""2023-11-18"", ""name"": ""Mego"", ""opening_hours"": ""Mo-Fr 08:00-20:00; Sa 09:00-18:00"", ""ref:LV:addr"": ""101903587"", ""shop"": ""supermarket"", ""wheelchair"": ""no""}"
node/608590334,node,608590334,Maxima XXX,57.0324199,24.048201,supermarket,,,Maxima Latvija,Maxima,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""29"", ""addr:postcode"": ""LV-1016"", ""addr:street"": ""Stūrmaņu iela"", ""brand"": ""Maxima"", ""brand:wikidata"": ""Q1881222"", ""brand:wikipedia"": ""en:Maxima Group"", ""name"": ""Maxima XXX"", ""operator"": ""Maxima Latvija"", ""ref:LV:addr"": ""102001827"", ""shop"": ""supermarket"", ""website"": ""https://maxima.lv/""}"
node/661097997,node,661097997,Rimi,56.9029953,24.0927817,supermarket,,,"SIA ""Rimi Latvia""",Rimi,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""51A"", ""addr:postcode"": ""LV-1058"", ""addr:street"": ""Valdeķu iela"", ""brand"": ""Rimi"", ""brand:wikidata"": ""Q3741108"", ""brand:wikipedia"": ""en:Rimi Baltic"", ""check_date:opening_hours"": ""2023-09-07"", ""diet:halal"": ""no"", ""diet:kosher"": ""no"", ""name"": ""Rimi"", ""opening_hours"": ""Mo-Su 08:00-22:00"", ""operator"": ""SIA \""Rimi Latvia\"""", ""ref:LV:addr"": ""104578242"", ""shop"": ""supermarket"", ""website"": ""https://rimi.lv/"", ""wheelchair"": ""yes""}"
node/661098019,node,661098019,Mego,56.9035054,24.1034089,supermarket,,,,Mego,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""46"", ""addr:postcode"": ""LV-1058"", ""addr:street"": ""Līvciema iela"", ""brand"": ""Mego"", ""brand:wikidata"": ""Q16363314"", ""brand:wikipedia"": ""lv:Mego"", ""check_date"": ""2025-12-19"", ""name"": ""Mego"", ""ref:LV:addr"": ""104960430"", ""shop"": ""supermarket"", ""source"": ""teritoriju plānojumi""}"
node/773137919,node,773137919,Mego,56.9087041,24.1820811,supermarket,,,,Mego,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""264"", ""addr:postcode"": ""LV-1063"", ""addr:street"": ""Latgales iela"", ""brand"": ""Mego"", ""brand:wikidata"": ""Q16363314"", ""brand:wikipedia"": ""lv:Mego"", ""check_date"": ""2024-08-19"", ""name"": ""Mego"", ""opening_hours"": ""24/7"", ""ref:LV:addr"": ""101942668"", ""shop"": ""supermarket""}"
node/773137922,node,773137922,Rimi Mini,56.9108611,24.1781367,supermarket,,,"SIA ""Rimi Latvia""",Rimi,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""256B"", ""addr:postcode"": ""LV-1063"", ""addr:street"": ""Latgales iela"", ""brand"": ""Rimi"", ""brand:wikidata"": ""Q3741108"", ""brand:wikipedia"": ""en:Rimi Baltic"", ""check_date"": ""2022-11-10"", ""name"": ""Rimi Mini"", ""opening_hours"": ""08:00-22:00"", ""operator"": ""SIA \""Rimi Latvia\"""", ""payment:cash"": ""yes"", ""payment:credit_cards"": ""yes"", ""payment:debit_cards"": ""yes"", ""ref:LV:addr"": ""103374145"", ""shop"": ""supermarket"", ""website"": ""https://rimi.lv/""}"
node/790320837,node,790320837,Maxima XXX,56.9604644,24.0373227,supermarket,,,Maxima Latvija,Maxima,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""115"", ""addr:postcode"": ""LV-1067"", ""addr:street"": ""Slokas iela"", ""brand"": ""Maxima"", ""brand:wikidata"": ""Q1881222"", ""brand:wikipedia"": ""en:Maxima Group"", ""name"": ""Maxima XXX"", ""opening_hours"": ""Mo-Su 08:00-23:00"", ""operator"": ""Maxima Latvija"", ""ref:LV:addr"": ""101136438"", ""shop"": ""supermarket"", ""website"": ""https://maxima.lv/""}"
node/794910973,node,794910973,Maxima X,56.9541383,24.0065101,supermarket,,,Maxima Latvija,Maxima,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""85"", ""addr:postcode"": ""LV-1069"", ""addr:street"": ""Jūrmalas gatve"", ""brand"": ""Maxima"", ""brand:wikidata"": ""Q1881222"", ""brand:wikipedia"": ""en:Maxima Group"", ""check_date"": ""2023-11-30"", ""name"": ""Maxima X"", ""opening_hours"": ""Mo-Su 08:00-22:00"", ""operator"": ""Maxima Latvija"", ""ref:LV:addr"": ""101839767"", ""shop"": ""supermarket"", ""website"": ""https://maxima.lv/"", ""wheelchair"": ""yes""}"
node/806487621,node,806487621,Beta,56.9535737,24.1756574,supermarket,,,,,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""35"", ""addr:postcode"": ""LV-1035"", ""addr:street"": ""Purvciema iela"", ""check_date:opening_hours"": ""2025-11-03"", ""diet:halal"": ""no"", ""diet:kosher"": ""no"", ""name"": ""Beta"", ""opening_hours"": ""Mo-Su 08:00-22:00"", ""payment:credit_cards"": ""yes"", ""payment:debit_cards"": ""yes"", ""ref:LV:addr"": ""103000556"", ""shop"": ""supermarket""}"
node/874389148,node,874389148,Rimi,57.0713896,24.3200681,supermarket,,,,Rimi,"{""addr:city"": ""Ādaži"", ""addr:country"": ""LV"", ""addr:district"": ""Ādažu novads"", ""addr:housenumber"": ""5"", ""addr:postcode"": ""LV-2164"", ""addr:street"": ""Rīgas gatve"", ""brand"": ""Rimi"", ""brand:wikidata"": ""Q3741108"", ""brand:wikipedia"": ""en:Rimi Baltic"", ""check_date"": ""2026-02-21"", ""level"": ""0"", ""name"": ""Rimi"", ""opening_hours"": ""Mo-Su 08:00-22:00"", ""payment:cash:machine"": ""yes"", ""ref:LV:addr"": ""101298705"", ""shop"": ""supermarket"", ""website"": ""https://rimi.lv/""}"
node/875780153,node,875780153,Rimi Super,56.9661215,24.1310119,supermarket,,,"SIA ""Rimi Latvia""",Rimi,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""62A"", ""addr:postcode"": ""LV-1013"", ""addr:street"": ""Krišjāņa Valdemāra iela"", ""brand"": ""Rimi"", ""brand:wikidata"": ""Q3741108"", ""check_date"": ""2026-01-02"", ""check_date:opening_hours"": ""2025-03-07"", ""name"": ""Rimi Super"", ""opening_hours"": ""Mo-Su 08:00-22:00"", ""operator"": ""SIA \""Rimi Latvia\"""", ""ref:LV:addr"": ""105736978"", ""shop"": ""supermarket"", ""website"": ""https://rimi.lv/""}"
node/896475476,node,896475476,Maxima X,56.9441618,24.1153335,supermarket,,,Maxima Latvija,Maxima,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""5"", ""addr:postcode"": ""LV-1050"", ""addr:street"": ""Centrāltirgus iela"", ""brand"": ""Maxima"", ""brand:wikidata"": ""Q1881222"", ""brand:wikipedia"": ""en:Maxima Group"", ""name"": ""Maxima X"", ""opening_hours"": ""Mo-Fr 07:00-21:00; Sa 07:00-20:00; Su 07:30-18:00"", ""operator"": ""Maxima Latvija"", ""ref:LV:addr"": ""103322312"", ""shop"": ""supermarket"", ""wheelchair"": ""limited""}"
node/906440430,node,906440430,Promo Cash & Carry,56.9153042,24.1184181,supermarket,,,,,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""95"", ""addr:postcode"": ""LV-1004"", ""addr:street"": ""Mūkusalas iela"", ""check_date"": ""2025-03-22"", ""name"": ""Promo Cash & Carry"", ""opening_hours"": ""Mo-Sa 08:00-21:00; Su 08:00-20:00"", ""ref:LV:addr"": ""104618120"", ""shop"": ""supermarket"", ""website"": ""https://sanitex.lv/""}"
node/909387334,node,909387334,Beta,56.9616394,24.1897849,supermarket,,,,,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""45A"", ""addr:postcode"": ""LV-1084"", ""addr:street"": ""Stirnu iela"", ""name"": ""Beta"", ""opening_hours"": ""Mo-Su 08:00-21:00"", ""payment:credit_cards"": ""yes"", ""payment:debit_cards"": ""yes"", ""ref:LV:addr"": ""103418110"", ""shop"": ""supermarket""}"
node/928293704,node,928293704,Fix price,56.944886,24.0643764,supermarket,,,,,"{""addr:city"": ""Rīga"", ""addr:country"": ""LV"", ""addr:housenumber"": ""21A"", ""addr:postcode"": ""LV-1083"", ""addr:street"": ""Melnsila iela"", ""check_date"": ""2025-12-17"", ""email"": ""orderlv@fix-price.lv"", ""name"": ""Fix price"", ""opening_hours"": ""09:00-21:00"", ""ref:LV:addr"": ""101949937"", ""shop"": ""supermarket"", ""website"": ""https://fix-price.lv/""}"
